Subject,Course,Average Grade
AAS,100,3.4366666666666665
AAS,215,3.7
ABE,152,3.59
ABE,225,3.28
ABE,226,3.07
ABE,469,3.64
ABE,498,3.53
ACCY,200,3.563333333333334
ACCY,201,3.2800000000000002
ACCY,202,3.3800000000000003
ACCY,301,3.315
ACCY,302,3.5
ACCY,303,3.3249999999999997
ACCY,304,3.5980000000000003
ACCY,312,3.31
ACCY,398,3.95
ACCY,405,3.2380000000000004
ACCY,410,3.3383333333333334
ACCY,451,3.38
ACCY,500,3.83
ACCY,501,2.99
ACCY,502,3.465
ACCY,503,3.4799999999999995
ACCY,506,3.6833333333333336
ACCY,507,3.54
ACCY,510,3.36
ACCY,512,3.5933333333333337
ACCY,515,3.52
ACCY,517,3.845
ACCY,550,3.58
ACCY,552,3.56
ACCY,554,3.53
ACCY,570,3.78
ACCY,571,3.86
ACCY,574,3.9450000000000003
ACCY,575,3.82875
ACCY,576,3.73
ACCY,577,3.66
ACE,100,3.41
ACE,161,3.4
ACE,199,3.5399999999999996
ACE,210,2.72
ACE,231,3.21
ACE,232,2.95
ACE,240,3.5533333333333332
ACE,251,3.31
ACE,254,3.29
ACE,255,3.68
ACE,262,2.97
ACE,264,3.41
ACE,270,2.97
ACE,300,2.91
ACE,306,2.95
ACE,310,3.67
ACE,335,3.7
ACE,341,3.76
ACE,345,3.11
ACE,360,3.4066666666666663
ACE,398,3.37
ACE,403,3.63
ACE,410,3.55
ACE,427,3.42
ACE,430,2.62
ACE,431,3.14
ACE,435,3.08
ACE,440,3.53
ACE,444,2.59
ACE,446,2.61
ACE,449,3.1
ACE,451,3.13
ACE,474,3.35
ACE,476,3.02
ACE,592,2.98
ACES,102,3.24
ADV,150,3.825
ADV,270,3.24
ADV,281,2.915
ADV,283,3.635
ADV,284,3.52
ADV,290,3.4450000000000003
ADV,305,3.76
ADV,310,3.48
ADV,314,3.51
ADV,320,3.26
ADV,350,3.64
ADV,370,3.27
ADV,390,3.05
ADV,393,3.16
ADV,409,3.92
ADV,410,3.64
ADV,460,3.643333333333333
ADV,483,2.9800000000000004
ADV,498,3.685
AE,140,3.54
AE,202,3.41
AE,311,3.63
AE,312,2.88
AE,321,2.63
AE,323,2.9
AE,352,2.96
AE,353,3.29
AE,370,3.1
AE,410,3.35
AE,419,2.81
AE,434,3.22
AE,435,2.92
AE,443,3.37
AE,461,3.47
AE,498,3.56
AE,504,3.87
AE,508,3.85
AFRO,100,2.9
AFRO,101,3.45
AFRO,103,3.49
AFRO,105,3.01
AFRO,132,3.61
AFRO,224,3.92
AFRO,228,3.87
AFRO,261,3.19
AGCM,220,3.6
AGCM,320,3.6
