Subject,Course,Name,Description,Credit Hours,Degree Attributes,CRN,Average Grade,Degree Attributes Codes
AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3,"['Social & Beh Sci - Soc Sci', ' Cultural Studies - US Minority course']",30107,3.4366666666666665,"[1, 8]"
AAS,200,U.S. Race and Empire,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.",3,"['Humanities - Hist & Phil', ' Cultural Studies - US Minority course']",64396,,"[6, 8]"
AAS,215,US Citizenship Comparatively,"Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215, AIS 295, GWS 215, and LLS 215. Prerequisite: One of: AAS 100, AAS 120, AFRO 100 AIS 101, GWS 250, LLS 100.",3,"['Humanities - Hist & Phil', ' Cultural Studies - US Minority course']",52317,3.7,"[6, 8]"
AAS,299,Begin Topics Asian Am Studies,May be repeated in the same or subsequent terms to a maximum of 6 hours.,3,,48455,,
AAS,539,"Youth, Culture and Society","Examines youth as a historically and culturally specific social formation; examines discursive and material positioning of youth within broader intersecting racial, cultural, socio-economic, gender and political contexts to situate youth and youth cultural practices within global and local processes. Specific topics include youth cultures, juvenile justice, education, labor, consumerism, politics, sexuality and activism, as well as methodological considerations of conducting research on youth. Same as EPOL 518, EPS 539, and HDFS 539. 4 graduate hours. No professional credit.",4,,65078,,
ABE,141,ABE Principles: Biological,"Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design.",2,,54768,,
ABE,152,Water in the Global Environment,"This course develops a comprehensive understanding and appreciation of water and its impact in a global context. The course emphasizes cultural practices associated with water and its use, especially for regions in non-western cultures. Students will develop critical knowledge of: 1) water availability, water quality, and global challenges; 2) historical perspectives of water use; 3) past, present, and future environmental sustainability in relation to water, food, and energy; and 4) conduct analysis of cultural practices and their sustainability based on water in a global context. Students attend 3-4 field trips related to the course.",3,"['Cultural Studies - Non-West', ' Nat Sci & Tech - Phys Sciences course']",73114,3.59,"[8, 0]"
ABE,225,ABE Principles: Bioenvironment,"Principles of environmental control for biological structures: psychrometrics; mass and heat transfer through buildings; ventilation requirements. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2,,57090,3.28,
ABE,226,ABE Principles: Bioprocessing,"Principles of bioprocess engineering applied to food and agricultural products: material balances; fluid flow; heat and mass transfers; drying; evaporation; fermentation; distillation; process simulation. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2,,57087,3.07,
ABE,232,Context in International Interventions,"This multi-disciplinary course will examine a new approach to infrastructure engineering for alternately developed societies that seeks to counteract the disconnects and differing objectives among project stakeholders that result in lack of infrastructure sustainability and resiliency. Using a case study from Western Africa, the course will consider the impact of globalization, the attitudes of industrialized societies, and the role of place-based knowledge in designing and implementing infrastructure interventions for rural societies. Same as AFST 233.",3,"['Cultural Studies - Non-West', ' Social & Beh Sci - Soc Sci course']",74481,,"[8, 1]"
ABE,341,Transport Processes in ABE,"Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. Credit is not given for both ABE 341 and CHBE 421. Prerequisite: ABE 223, ABE 224, ABE 225, ABE 226, and PHYS 213.",3,,74560,,
ABE,425,Engrg Measurement Systems,"Principles of instrumentation systems, including sensing, signal conditioning, computerized data acquisition, test design, data analysis and synthesis. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 425 and ME 360. Prerequisite: ECE 205.",4,,39995,,
ABE,457,NPS Pollution Processes,"Principles, concepts, and analysis of processes for nonpoint source pollution involving sediment, inorganic and organic chemicals, and microbial pathogens; hydrologic and pollutant interactions, pollutant fate and transport processes from storm water runoff and percolation; impact of pollutant transport on receiving water and ecosystems. 2 undergraduate hours. 2 graduate hours. Prerequisite: ABE 224 or CEE 350.",2,,51989,,
ABE,458,NPS Pollution Modeling,"Concepts, principles, and application of modeling for assessment and management of agricultural nonpoint source pollution. Modeling of agroecosystems and land use impacts on hydrologic and water quality response of upland catchments. Model selection, calibration, validation, and application for comparative analysis. Case studies in current watershed management issues, with a focus on agricultural waste and nutrient management, using existing field and watershed nonpoint source pollution models. 2 undergraduate hours. 2 graduate hours. Prerequisite: ABE 457.",2,,62504,,
ABE,469,Industry-Linked Design Project,"Industry-submitted and sponsored design projects which utilize principles of design, engineering analysis and functional operation of engineering systems. Design teams develop concepts, evaluate alternatives, model and analyze solutions, and build and test a final product. Emphases on communication skills, technical writing, and interaction with industry representatives. 4 undergraduate hours. 4 graduate hours. Prerequisite: One of ABE 361, CHBE 421, TAM 335; or credit or concurrent registration in ME 370.",4,['Advanced Composition course'],70549,3.64,[2]
ABE,483,Engineering Properties of Food Materials,"Physical properties of foods and biological materials; properties relating to equipment design and the sensing and control of food processes; thermal, electromagnetic radiation, rheological, and other mechanical properties. 3 undergraduate hours. 3 graduate hours. Prerequisite: Senior status in engineering or consent of instructor.",3,,74549,,
ABE,526,Autonomous Systems and Robots,"The objective of this course is to cover theory and techniques essential for building cyber-physical systems capable of autonomous decision making in the real-world. This course will lay a foundation for theory and techniques in autonomous planning, machine learning, and adaptive sequential decision making. Topics covered include Planning under uncertainty, Bayesian Nonparametric machine learning, Deep learning and Neural Networks, Markov Decision Processes, and Reinforcement Learning. A key emphasis of the course is placed on transition of fundamental aspects of autonomous decision making to application on robotics systems. 4 graduate hours. No professional credit. Prerequisite: MATH 225; MATH 416, or equivalent; STAT 400, Math 461 or equivalent. An introductory course in machine learning (e.g. CS 446), control (e.g. SE 422), robotics (e.g. ABE 424, ECE 470), OR Artificial Intelligence (CS 440) is required. An introductory software programming course is recommended. Restricted to graduate students in Engineering.",4,,72238,,
ABE,594,Graduate Seminar,Presentations of thesis research by graduate students; other presentations on teaching or current research issues related to agricultural and biological engineering. Approved for S/U grading only. May be repeated up to a maximum of 6 times.,0,,45390,,
