Subject,Course,Name,Description,Credit Hours,Degree Attributes,CRN,Average Grade,Degree Attributes Codes
AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,"['Social & Beh Sci - Soc Sci', ' Cultural Studies - US Minority course']",30107,3.4366666666666665,"[1, 12]"
AAS,200,U.S. Race and Empire,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.",3 hours.,"['Humanities - Hist & Phil', ' Cultural Studies - US Minority course']",64396,,"[7, 12]"
AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"['Social & Beh Sci - Soc Sci', ' Cultural Studies - US Minority course']",66639,,"[1, 12]"
AAS,215,US Citizenship Comparatively,"Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215, AIS 295, GWS 215, and LLS 215. Prerequisite: One of: AAS 100, AAS 120, AFRO 100 AIS 101, GWS 250, LLS 100.",3 hours.,"['Humanities - Hist & Phil', ' Cultural Studies - US Minority course']",52317,3.7,"[7, 12]"
AAS,282,Feminist and Queer Activisms,Same as GWS 282 and LLS 282. See GWS 282.,3 hours.,['Cultural Studies - US Minority course'],71813,,[12]
AAS,283,Asian American History,Same as HIST 283. See HIST 283.,3 hours.,"['Humanities - Hist & Phil', ' Cultural Studies - US Minority course']",71840,,"[7, 12]"
AAS,286,Asian American Literature,Same as ENGL 286. See ENGL 286.,3 hours.,"['Cultural Studies - US Minority', ' Humanities - Lit & Arts course']",32112,,"[12, 7]"
AAS,297,Asian Families in America,Same as HDFS 221 and SOCW 297. See SOCW 297.,3 hours.,"['Social & Beh Sci - Soc Sci', ' Cultural Studies - US Minority course']",62166,,"[1, 12]"
AAS,299,Begin Topics Asian Am Studies,May be repeated in the same or subsequent terms to a maximum of 6 hours.,3 hours.,,48455,,
AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPOL 310, EPS 310, and LLS 310. See EPOL 310.",4 hours.,"['Advanced Composition', ' Cultural Studies - US Minority course']",33071,,"[2, 12]"
